year,number,song,artist,semanas
2015,60,"I don´t like it, I love it",FLO RIDA / ROBIN THICKE & VERDINE WHITE,"31 Semanas en lista
1x"
2015,61,FourFiveSeconds,Rihanna and Kanye West and Paul McCartney,"26 Semanas en lista
1x"
2015,62,All Of Me,John Legend,"87 Semanas en lista
1x"
2015,63,Don´t Worry feat. Ray Dalton,Madcon,"28 Semanas en lista
1x"
2015,64,All About That Bass,Meghan Trainor,"44 Semanas en lista
1x"
2015,65,Propuesta Indecente,ROMEO SANTOS,"93 Semanas en lista
1x"
2015,66,Locked Away,R. City / Adam Levine,"18 Semanas en lista
1x"
2015,67,Tentándome (feat. Maffio),Juan Magan,"36 Semanas en lista
1x"
2015,68,Reality,Lost Frequencies feat Janieck Devy,"23 Semanas en lista
1x"
2015,69,Headlights,ROBIN SCHULZ / ILSEY,"39 Semanas en lista
1x"
2015,70,King,Years & Years,"34 Semanas en lista
1x"
2015,71,Un Zombie A La Intemperie,Alejandro Sanz,"28 Semanas en lista
1x"
2015,72,Marvin Gaye feat Meghan Trainor,Charlie Puth,"19 Semanas en lista
1x"
2015,73,Prayer in C (Robin Schulz remix),"ROBIN SCHULZ, LILLY WOOD & THE PRICK","55 Semanas en lista
1x"
2015,74,Photograph,ED SHEERAN,"24 Semanas en lista
1x"
2015,75,Lips Are Movin,Meghan Trainor,"23 Semanas en lista
1x"
2015,76,Por fin,Pablo Alborán,"49 Semanas en lista
1x"
2015,77,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj","44 Semanas en lista
1x"
2015,78,Soledad,Don Omar,"41 Semanas en lista
1x"
2015,79,BLAME feat. John Newman,Calvin Harris,"42 Semanas en lista
1x"
2015,80,Heroes,Måns Zelmerlöw,"23 Semanas en lista
1x"
2015,81,La promesa,Melendi,"45 Semanas en lista
1x"
2015,82,I Really Like You,Carly Rae Jepsen,"30 Semanas en lista
1x"
2015,83,Noche Y De Dia,Enrique Iglesias feat Yandel & Juan Magán,"52 Semanas en lista
1x"
2015,84,Te recordare bailando,Don Omar,"28 Semanas en lista
1x"
2015,85,Animals,Maroon 5,"32 Semanas en lista
1x"
2015,86,La Temperatura,Maluma feat. Eli Palacios,"54 Semanas en lista
1x"
2015,87,Happy,Pharrell Williams,"82 Semanas en lista
1x"
2015,88,Sun Goes Down (feat. Jasmine Thompson),ROBIN SCHULZ,"24 Semanas en lista
1x"
2015,89,Break Free,Ariana Grande feat Zedd,"34 Semanas en lista
1x"
2015,90,Heroes,Alesso feat Tove Lo,"32 Semanas en lista
1x"
2015,91,I`m Not The Only One,Sam Smith,"26 Semanas en lista
1x"
2015,92,Stitches,Shawn Mendes,"15 Semanas en lista
1x"
2015,93,Fireball,Pitbull feat. John Ryan,"34 Semanas en lista
1x"
2015,94,Hold My hand,JESS GLYNNE,"25 Semanas en lista
1x"
2015,95,Tu Enemigo (feat. Juanes),Pablo López,"16 Semanas en lista
1x"
2015,96,Si no te enamoras,Kevin Roldan,"20 Semanas en lista
1x"
2015,97,Maps,Maroon 5,"44 Semanas en lista
1x"
2015,98,Good For You,Selena Gomez feat A$AP Rocky,"28 Semanas en lista
1x"
2015,99,On My Mind,Ellie Goulding,"15 Semanas en lista
1x"
2015,100,A Sky Full of Stars,COLDPLAY,"52 Semanas en lista
1x"
2016,1,DUELE EL CORAZON,Enrique Iglesias feat Wisin,"37 Semanas en lista
5x"
2016,2,Cheap Thrills (feat Sean Paul),SIA,"45 Semanas en lista
5x"
2016,3,La Bicicleta,Carlos Vives & Shakira,"31 Semanas en lista
4x"
2016,4,Cómo Te Atreves,Morat,"44 Semanas en lista
4x"
2016,5,Sorry,Justin Bieber,"62 Semanas en lista
4x"
2016,6,Hasta El Amanecer,Nicky Jam,"50 Semanas en lista
4x"
2016,7,One Dance,Drake feat WizKid & Kyla,"37 Semanas en lista
4x"
2016,8,Faded,Alan Walker,"51 Semanas en lista
3x"
2016,9,Picky,Joey Montana,"56 Semanas en lista
4x"
2016,10,I Took A Pill In Ibiza (Seeb Remix),Mike Posner,"48 Semanas en lista
3x"
2016,11,Hymn for the weekend,COLDPLAY,"48 Semanas en lista
3x"
2016,12,Love yourself,Justin Bieber,"55 Semanas en lista
3x"
2016,13,Baila Conmigo,Juan Magán feat Luciana,"39 Semanas en lista
3x"
2016,14,Light it up feat Nyla & Fuse ODG,MAJOR LAZER,"45 Semanas en lista
3x"
2016,15,Ain`t Your Mama,Jennifer Lopez,"38 Semanas en lista
3x"
2016,16,Andas en mi cabeza,Chino & Nacho / Daddy Yankee,"44 Semanas en lista
2x"
2016,17,DON´T LET ME DOWN,THE CHAINSMOKERS / DAYA,"40 Semanas en lista
2x"
2016,18,Borro Cassette,Maluma,"65 Semanas en lista
3x"
2016,19,Lush Life,Zara Larsson,"42 Semanas en lista
2x"
2016,20,Work,Rihanna / Drake,"34 Semanas en lista
2x"
2016,21,7 Years,LUKAS GRAHAM,"39 Semanas en lista
2x"
2016,22,Ay Mi Dios,IAMCHINO / PITBULL / YANDEL / CHACAL,"34 Semanas en lista
2x"
2016,23,Ginza,J Balvin,"59 Semanas en lista
2x"
2016,24,Can`t Stop The Feeling,Justin Timberlake,"34 Semanas en lista
2x"
2016,25,Por Fin Te Encontré,Cali Y El Dandee feat Juan Magan & Sebastian Yatra,"51 Semanas en lista
4x"
2016,26,This Is What You Came For,Calvin Harris Feat Rihanna,"35 Semanas en lista
2x"
2016,27,Hasta que se seque el malecon,JACOB FOREVER,"34 Semanas en lista
2x"
2016,28,Mayor que yo 3,LUNY TUNES / DON OMAR / DADDY YANKEE / WISIN / YANDEL,"49 Semanas en lista
2x"
2016,29,Catch & Release (Deepend Remix Extended Version),Matt Simons,"47 Semanas en lista
2x"
2016,30,Traidora,Gente de Zona feat. Marc Anthony,"46 Semanas en lista
2x"
2016,31,Una en un millón,Alexis & Fido,"53 Semanas en lista
2x"
2016,32,Bobo,J Balvin,"33 Semanas en lista
2x"
2016,33,Encantadora,Yandel,"63 Semanas en lista
2x"
2016,34,Stressed Out,TWENTY ONE PILOTS,"43 Semanas en lista
2x"
2016,35,Cold Water featuring Justin Bieber & MØ,MAJOR LAZER,"23 Semanas en lista
2x"
2016,36,Sofia,Alvaro Soler,"34 Semanas en lista
2x"
2016,37,Cake by the ocean,DNCE,"41 Semanas en lista
2x"
2016,38,What Do You Mean?,Justin Bieber,"50 Semanas en lista
3x"
2016,39,Bang my head,David Guetta / Sia,"39 Semanas en lista
2x"
2016,40,Deja Que Te Bese,Alejandro Sanz feat Marc Anthony,"24 Semanas en lista
2x"
2016,41,Let me love you (feat. Justin Bieber),DJ Snake,"21 Semanas en lista
2x"
2016,42,Stitches,Shawn Mendes,"47 Semanas en lista
2x"
2016,43,We Dont Talk Anymore,Charlie Puth / Selena Gomez,"27 Semanas en lista
2x"
2016,44,La Gozadera,Gente de Zona feat. Marc Anthony,"85 Semanas en lista
2x"
2016,45,Traicionera,Sebastián Yatra,"24 Semanas en lista
2x"
2016,46,Fast Car (Radio Edit),Jonas Blue / Dakota,"34 Semanas en lista
1x"
2016,47,Tu Enemigo (feat. Juanes),Pablo López,"52 Semanas en lista
1x"
2016,48,Work from Home,Fifth Harmony / TY Dolla $ing,"33 Semanas en lista
2x"
2016,49,Adventure of a Lifetime,COLDPLAY,"44 Semanas en lista
2x"
2016,50,No Money,GALANTIS,"30 Semanas en lista
2x"
2016,51,Te busco,COSCULLUELA / NICKY JAM,"52 Semanas en lista
2x"
2016,52,Vuela Corazón,Dasoul,"30 Semanas en lista
1x"
2016,53,Ya Me Enteré,Reik,"29 Semanas en lista
2x"
2016,54,Hello,Adele,"38 Semanas en lista
2x"
2016,55,Safari,"J. Balvin feat Pharrell Williams & BIA, Sky","16 Semanas en lista
1x"
2016,56,Shaky shaky,Daddy Yankee,"36 Semanas en lista
1x"
2016,57,Otra Vez feat J Balvin,Zion&Lennox,"21 Semanas en lista
1x"
2016,58,El Perdedor,Maluma,"36 Semanas en lista
1x"
2016,59,Amor & Dolor,CARLOS BAUTE / ALEXIS & FIDO,"28 Semanas en lista
1x"
2016,60,Lean On,MAJOR LAZER / MØ / DJ SNAKE,"76 Semanas en lista
2x"
2016,61,Reggaeton lento (Bailemos),CNCO,"17 Semanas en lista
1x"
2016,62,Closer,THE CHAINSMOKERS / HALSEY,"21 Semanas en lista
1x"
2016,63,Vente Pa` Cá,Ricky Martin feat. Maluma,"14 Semanas en lista
1x"
2016,64,Treat You Better,Shawn Mendes,"30 Semanas en lista
1x"
2016,65,This Girl,Kungs feat Cookin` On 3 Burners,"27 Semanas en lista
1x"
2016,66,Perfect Strangers,Jonas Blue feat JP Cooper,"24 Semanas en lista
1x"
2016,67,PILLOWTALK,ZAYN,"24 Semanas en lista
1x"
2016,68,El Perdon,Nicky Jam / Enrique Iglesias,"83 Semanas en lista
2x"
2016,69,"Me, Myself & I",G-Eazy / Bebe Rexha,"30 Semanas en lista
1x"
2016,70,Hotline bling,Drake,"38 Semanas en lista
1x"
2016,71,DANCING KIZOMBA (SPANISH VERSION),Alx Veliz,"39 Semanas en lista
1x"
2016,72,This One´s For You,David Guetta / Zara Larsson,"23 Semanas en lista
1x"
2016,73,Ya No,Manuel Carrasco,"43 Semanas en lista
1x"
2016,74,El Mismo Sol,Alvaro Soler,"50 Semanas en lista
2x"
2016,75,QUIERO QUE SEPAS,Juan Magan,"24 Semanas en lista
1x"
2016,76,The Greatest ft Kendrick Lamar,SIA,"16 Semanas en lista
1x"
2016,77,Chantaje,Shakira feat. Maluma,"9 Semanas en lista
1x"
2016,78,NO,Meghan Trainor,"22 Semanas en lista
1x"
2016,79,Heathens,TWENTY ONE PILOTS,"25 Semanas en lista
1x"
2016,80,In the Name of Love,Martin Garrix & Bebe Rexha,"20 Semanas en lista
1x"
2016,81,Gyal You A Party Animal,Charly Black,"13 Semanas en lista
1x"
2016,82,RIDE,TWENTY ONE PILOTS,"28 Semanas en lista
1x"
2016,83,How Deep Is Your Love,Calvin Harris & Disciples,"50 Semanas en lista
2x"
2016,84,Sugar (feat Francesco Yates),ROBIN SCHULZ,"46 Semanas en lista
1x"
2016,85,Bailar (Radio Edit),Deorro feat Elvis Crespo,"27 Semanas en lista
1x"
2016,86,Photograph,ED SHEERAN,"53 Semanas en lista
1x"
2016,87,Can`t Feel My Face,The Weeknd,"51 Semanas en lista
2x"
2016,88,Vuelve,Juan Magan feat Paulina Rubio y DCS,"47 Semanas en lista
2x"
2016,89,Embriágame,Zion y Lennox,"44 Semanas en lista
1x"
2016,90,Locked Away,R. City / Adam Levine,"38 Semanas en lista
1x"
2016,91,A donde voy feat Daddy Yankee,Cosculluela,"28 Semanas en lista
1x"
2016,92,La Mordidita,Ricky Martin feat Yotuel,"51 Semanas en lista
2x"
2016,93,Side to side,ARIANA GRANDE / NICKI MINAJ,"17 Semanas en lista
1x"
2016,94,Starboy,The Weeknd feat Daft Punk,"14 Semanas en lista
1x"
2016,95,Uno X Uno,Manuel Carrasco,"38 Semanas en lista
1x"
2016,96,Si ella quisiera,Justin Quiles,"43 Semanas en lista
1x"
2016,97,Ain`t Nobody (Loves Me Better),Felix Jaehn feat Jasmine Thompson,"50 Semanas en lista
2x"
2016,98,Bailame Despacio,XANTOS,"19 Semanas en lista
1x"
2016,99,Uptown Funk,Mark Ronson feat. Bruno Mars,"75 Semanas en lista
1x"
2016,100,I Hate U I love U,GNASH / OLIVIA O´BRIEN,"31 Semanas en lista
1x"
2017,1,Despacito (Featuring Daddy Yankee),Luis Fonsi feat Daddy Yankee,"50 Semanas en lista
12x"
2017,2,Shape of you,ED SHEERAN,"51 Semanas en lista
8x"
2017,3,Me Rehuso,DANNY OCEAN,"47 Semanas en lista
7x"
2017,4,Felices los 4,Maluma,"36 Semanas en lista
6x"
2017,5,SUBEME LA RADIO,"Enrique Iglesias feat Descemer Bueno, Zion & Lennox","39 Semanas en lista
5x"
2017,6,El Amante,Nicky Jam,"49 Semanas en lista
4x"
2017,7,Reggaeton lento (Bailemos),CNCO,"65 Semanas en lista
5x"
2017,8,Bailame,Nacho,"37 Semanas en lista
4x"
2017,9,Mi Gente,J Balvin feat Willy William,"26 Semanas en lista
4x"
2017,10,Escapate Conmigo,Wisin feat Ozuna,"40 Semanas en lista
4x"
2017,11,Chantaje,Shakira feat. Maluma,"50 Semanas en lista
4x"
2017,12,Una Lady como Tú,Manuel Turizo,"31 Semanas en lista
4x"
2017,13,Lumbra,Cali Y El Dandee feat Shaggy,"41 Semanas en lista
3x"
2017,14,Me Enamoré,SHAKIRA,"37 Semanas en lista
3x"
2017,15,Mayores,Becky G feat Bad Bunny,"24 Semanas en lista
3x"
2017,16,Otra Vez feat J Balvin,Zion&Lennox,"65 Semanas en lista
4x"
2017,17,Ahora dice,CHRIS JEDAY / J BALVIN / OZUNA / ARCANGEL,"39 Semanas en lista
3x"
2017,18,Me llamas,Piso 21,"65 Semanas en lista
4x"
2017,19,La Rompe Corazones,Daddy Yankee / Ozuna,"41 Semanas en lista
3x"
2017,20,Mala Mujer,C. Tangana,"31 Semanas en lista
3x"
2017,21,Hey DJ (Pop Version),CNCO,"38 Semanas en lista
3x"
2017,22,Sola,ANUEL AA,"52 Semanas en lista
3x"
2017,23,Hey Ma [Spanish Version] featuring Camila Cabello,Pitbull & J Balvin,"34 Semanas en lista
3x"
2017,24,Rockabye,CLEAN BANDIT / SEAN PAUL & ANNE-MARIE,"41 Semanas en lista
3x"
2017,25,La Isla del amor,DEMARCO FLAMENCO / MAKI,"29 Semanas en lista
3x"
2017,26,Traicionera,Sebastián Yatra,"61 Semanas en lista
3x"
2017,27,Vente Pa` Cá,Ricky Martin feat. Maluma,"55 Semanas en lista
3x"
2017,28,Gyal You A Party Animal,Charly Black,"53 Semanas en lista
3x"
2017,29,Swalla feat Nicki Minaj & Ty Dolla $ign,JASON DERÜLO,"40 Semanas en lista
3x"
2017,30,Bonita,J BALVIN / JOWELL & RANDY,"30 Semanas en lista
3x"
2017,31,It Ain`t Me,Kygo & Selena Gomez,"38 Semanas en lista
2x"
2017,32,Something Just Like This,The Chainsmokers & Coldplay,"36 Semanas en lista
2x"
2017,33,Kung Fu,Dasoul y Nacho,"34 Semanas en lista
2x"
2017,34,Vacaciones,Wisin,"51 Semanas en lista
3x"
2017,35,Tú Me Obligaste,Antonio José ft. Cali Y El Dandee,"34 Semanas en lista
2x"
2017,36,Sigo Extrañándote,J.Balvin,"35 Semanas en lista
2x"
2017,37,Safari,"J. Balvin feat Pharrell Williams & BIA, Sky","48 Semanas en lista
3x"
2017,38,Attention,Charlie Puth,"35 Semanas en lista
2x"
2017,39,Tu foto,OZUNA,"35 Semanas en lista
2x"
2017,40,La Bicicleta,Carlos Vives & Shakira,"66 Semanas en lista
6x"
2017,41,Ando buscando featuring Piso 21,Carlos Baute,"36 Semanas en lista
2x"
2017,42,TE QUIERO PA MI,DON OMAR / ZION & LENNOX,"40 Semanas en lista
2x"
2017,43,Criminal,NATTI NATASHA / OZUNA,"17 Semanas en lista
2x"
2017,44,Alguien Robó,"Sebastián Yatra, Nacho y Wisin","33 Semanas en lista
2x"
2017,45,Perro Fiel,shakira / Nicky Jam,"31 Semanas en lista
2x"
2017,46,Se preparó,OZUNA,"19 Semanas en lista
2x"
2017,47,Sirenas,Taburete,"54 Semanas en lista
2x"
2017,48,Bailame Despacio,XANTOS,"53 Semanas en lista
1x"
2017,49,Loco enamorado,"Abraham Mateo, Farruko & Christian Daniel","27 Semanas en lista
2x"
2017,50,Deja Vu,Prince Royce y Shakira,"30 Semanas en lista
1x"
2017,51,I Don´t Wanna Live Forever,Zayn | Taylor Swift,"24 Semanas en lista
1x"
2017,52,There`s Nothing Holdin` Me Back,Shawn Mendes,"30 Semanas en lista
1x"
2017,53,2U featuring Justin Bieber,David Guetta,"23 Semanas en lista
1x"
2017,54,Castle on the hill,ED SHEERAN,"19 Semanas en lista
1x"
2017,55,Andas en mi cabeza,Chino & Nacho / Daddy Yankee,"80 Semanas en lista
4x"
2017,56,Perfect,ED SHEERAN / BEYONCE,"20 Semanas en lista
1x"
2017,57,Que va,ALEX SENSATION / OZUNA,"20 Semanas en lista
1x"
2017,58,Suena El Dembow,Joey Montana y Sebastián Yatra,"16 Semanas en lista
1x"
2017,59,New Rules,Dua Lipa,"22 Semanas en lista
1x"
2017,60,"Yo Contigo, Tú Conmigo (The Gong Gong Song)",Morat y Alvaro Soler,"28 Semanas en lista
1x"
2017,61,Issues,Julia Michaels,"46 Semanas en lista
1x"
2017,62,Ay Mi Dios,IAMCHINO / PITBULL / YANDEL / CHACAL,"61 Semanas en lista
4x"
2017,63,Symphony,CLEAN BANDIT / ZARA LARSSON,"26 Semanas en lista
1x"
2017,64,Robarte un Beso,Carlos Vives & Sebastian Yatra,"22 Semanas en lista
1x"
2017,65,Havana,Camila Cabello feat. Young Thug,"20 Semanas en lista
1x"
2017,66,No vaya a ser,Pablo Alborán,"16 Semanas en lista
1x"
2017,67,Deja Que Te Bese,Alejandro Sanz feat Marc Anthony,"50 Semanas en lista
3x"
2017,68,Scared To Be Lonely,Martin Garrix & Dua Lipa,"21 Semanas en lista
1x"
2017,69,Sé Que Te Duele,Alejandro Fernández feat Morat,"27 Semanas en lista
1x"
2017,70,Soy Peor,BAD BUNNY,"39 Semanas en lista
1x"
2017,71,Paris,The Chainsmokers,"20 Semanas en lista
1x"
2017,72,I Feel it coming,The Weeknd feat Daft Punk,"27 Semanas en lista
1x"
2017,73,You Don`t Know Me,Jax Jones feat RAYE,"23 Semanas en lista
1x"
2017,74,"Rápido, Brusco, Violento",Juan Magan feat BnK,"40 Semanas en lista
1x"
2017,75,Dile que tu me quieres,OZUNA,"38 Semanas en lista
1x"
2017,76,Ahora Me Llama,Karol G feat Bad Bunny,"27 Semanas en lista
1x"
2017,77,Desde que estamos juntos,Melendi,"37 Semanas en lista
1x"
2017,78,Let me love you (feat. Justin Bieber),DJ Snake,"41 Semanas en lista
3x"
2017,79,DUELE EL CORAZON,Enrique Iglesias feat Wisin,"63 Semanas en lista
6x"
2017,80,Chained To The Rhythm,Katy Perry feat Skip Marley,"19 Semanas en lista
1x"
2017,81,Besándote,Piso 21,"31 Semanas en lista
1x"
2017,82,Cómo Te Atreves,Morat,"72 Semanas en lista
5x"
2017,83,Si tu la ves (feat. Wisin),Nicky Jam,"37 Semanas en lista
1x"
2017,84,Mama feat. William Singe,Jonas Blue,"28 Semanas en lista
1x"
2017,85,Hasta que se seque el malecon,JACOB FOREVER,"56 Semanas en lista
3x"
2017,86,24k Magic,Bruno Mars,"30 Semanas en lista
2x"
2017,87,Malibu,Miley Cyrus,"20 Semanas en lista
1x"
2017,88,Thunder,Imagine Dragons,"33 Semanas en lista
1x"
2017,89,Bella y Sensual,"Romeo Santos, Daddy Yankee and Nicky Jam","23 Semanas en lista
1x"
2017,90,Sensualidad,BAD BUNNY / PRINCE ROYCE / J BALVIN / MAMBO KINGZ /DJ LUIAN,"8 Semanas en lista
1x"
2017,91,Fuego,Juanes,"32 Semanas en lista
1x"
2017,92,Stay,Zedd feat Alessia Cara,"24 Semanas en lista
1x"
2017,93,Galway Girl,ED SHEERAN,"23 Semanas en lista
1x"
2017,94,I`m the One,"DJ KHALED feat Quavo, Justin Bieber, Chance the Rapper, and Lil Wayne","19 Semanas en lista
1x"
2017,95,That´s what I like,Bruno Mars,"21 Semanas en lista
1x"
2017,96,Manicomio,Cosculluela,"25 Semanas en lista
1x"
2017,97,Wild Thoughts,DJ Khaled feat Rihanna & Bryson Tiller,"20 Semanas en lista
1x"
2017,98,Closer,THE CHAINSMOKERS / HALSEY,"40 Semanas en lista
2x"
2017,99,Say you Wont Let Go,James Arthur,"28 Semanas en lista
1x"
2017,100,More Than You Know,Axwell Ingrosso,"28 Semanas en lista
1x"
2018,1,Lo Malo,Aitana y Ana Guerra,"48 Semanas en lista
5x"
2018,2,Dura,Daddy Yankee,"49 Semanas en lista
4x"
2018,3,Sin Pijama,Becky G & Natti Natasha,"36 Semanas en lista
4x"
2018,4,Te Bote,NIO GARCIA / DARELL / CASPER MAGICO,"37 Semanas en lista
4x"
2018,5,Me Niego,Reik Feat Ozuna & Wisin,"45 Semanas en lista
3x"
2018,6,Usted,Juan Magan y Mala Rodríguez,"39 Semanas en lista
3x"
2018,7,VAINA LOCA,OZUNA / MANUEL TURIZO,"26 Semanas en lista
3x"
2018,8,"1, 2, 3 (feat Jason Derulo & De La Ghetto)",SOFÍA REYES,"45 Semanas en lista
3x"
2018,9,TELÉFONO,Aitana,"22 Semanas en lista
3x"
2018,10,X,Nicky Jam & J Balvin,"38 Semanas en lista
3x"
2018,11,La Cintura,Alvaro Soler,"39 Semanas en lista
3x"
2018,12,Échame La Culpa,Luis Fonsi & Demi Lovato,"56 Semanas en lista
4x"
2018,13,Bella,WOLFINE,"53 Semanas en lista
3x"
2018,14,MALAMENTE,Rosalía,"31 Semanas en lista
3x"
2018,15,Duro y Suave,Leslie Grace & Noriel,"47 Semanas en lista
3x"
2018,16,Perfect,ED SHEERAN,"72 Semanas en lista
3x"
2018,17,Ni La Hora,Ana Guerra y Juan Magan,"25 Semanas en lista
2x"
2018,18,I like It,CARDI B / BAD BUNNY / J BALVIN,"38 Semanas en lista
2x"
2018,19,Siguelo Bailando,OZUNA,"55 Semanas en lista
3x"
2018,20,No es justo,J BALVIN / ZION & LENNOX,"31 Semanas en lista
2x"
2018,21,A Partir de Hoy,David Bisbal y Sebastián Yatra,"41 Semanas en lista
2x"
2018,22,Déjala que Baile,MELENDI / ALEJANDRO SANZ / ARKANO,"40 Semanas en lista
2x"
2018,23,One Kiss,Calvin Harris feat Dua Lipa,"38 Semanas en lista
2x"
2018,24,Corazón,Maluma feat. Nego Do Borel,"46 Semanas en lista
3x"
2018,25,Mi Cama,KAROL G,"33 Semanas en lista
2x"
2018,26,Déjate Llevar,"Juan Magan & Belinda, Manuel Turizo, Snova y B-Case","49 Semanas en lista
2x"
2018,27,El Baño,Enrique Iglesias Feat Bad Bunny,"36 Semanas en lista
2x"
2018,28,MUJERES,MOZART LA PARA / JUSTIN QUILES,"24 Semanas en lista
2x"
2018,29,Criminal,NATTI NATASHA / OZUNA,"60 Semanas en lista
2x"
2018,30,La Player (Bandolera),Zion y Lennox,"43 Semanas en lista
2x"
2018,31,Asesina,BRYTIAGO / DARELL,"29 Semanas en lista
2x"
2018,32,BIEN DURO,C. Tangana,"27 Semanas en lista
2x"
2018,33,Downtown,ANITTA / J BALVIN,"43 Semanas en lista
2x"
2018,34,Ya No Quiero Na,Lola Indigo,"23 Semanas en lista
2x"
2018,35,No Me Acuerdo,Thalia & Natti Natasha,"30 Semanas en lista
2x"
2018,36,Madura,COSCULLUELA / BAD BUNNY,"37 Semanas en lista
2x"
2018,37,Dejala que Vuelva,Piso 21 / Manuel Turizo,"51 Semanas en lista
2x"
2018,38,Calypso,"Luis Fonsi, Stefflon Don","28 Semanas en lista
2x"
2018,39,Lo Siento,BERET,"31 Semanas en lista
2x"
2018,40,Amorfoda,BAD BUNNY,"29 Semanas en lista
2x"
2018,41,Clandestino,Shakira feat. Maluma,"29 Semanas en lista
2x"
2018,42,Friends,Marshmello & Anne-Marie,"45 Semanas en lista
2x"
2018,43,Havana,Camila Cabello feat. Young Thug,"62 Semanas en lista
2x"
2018,44,El Préstamo,Maluma,"38 Semanas en lista
2x"
2018,45,Dembow,DANNY OCEAN,"46 Semanas en lista
2x"
2018,46,Sensualidad,BAD BUNNY / PRINCE ROYCE / J BALVIN / MAMBO KINGZ /DJ LUIAN,"44 Semanas en lista
2x"
2018,47,PIENSO EN TU MIRÁ (CAP.3:CELOS),Rosalía,"23 Semanas en lista
2x"
2018,48,BEBE,6IX9INE / ANUEL AA,"17 Semanas en lista
1x"
2018,49,God´s Plan,Drake,"40 Semanas en lista
1x"
2018,50,Guerrera,C. Tangana y Dellafuente,"46 Semanas en lista
2x"
2018,51,Taki Taki,"DJ Snake, Selena Gomez, Ozuna y Cardi B","13 Semanas en lista
1x"
2018,52,Besos En Guerra,Morat y Juanes,"59 Semanas en lista
2x"
2018,53,Shape of you,ED SHEERAN,"103 Semanas en lista
2x"
2018,54,Llorando en la limo,C. TANGANA / ALIZZZ,"38 Semanas en lista
1x"
2018,55,Girls Like You,Maroon 5 ft Cardi B,"30 Semanas en lista
1x"
2018,56,Me Rehuso,DANNY OCEAN,"95 Semanas en lista
2x"
2018,57,Solo (feat. Demi Lovato),Clean Bandit,"32 Semanas en lista
1x"
2018,58,MIA feat. Drake,BAD BUNNY,"11 Semanas en lista
1x"
2018,59,Mayores,Becky G feat Bad Bunny,"64 Semanas en lista
2x"
2018,60,Cuando Te Besé,Becky G & Paulo Londra,"21 Semanas en lista
1x"
2018,61,El Farsante,OZUNA,"64 Semanas en lista
2x"
2018,62,Cuando Nadie Ve,Morat,"29 Semanas en lista
1x"
2018,63,El Anillo,Jennifer Lopez,"29 Semanas en lista
1x"
2018,64,IBIZA,OZUNA / ROMEO SANTOS,"18 Semanas en lista
1x"
2018,65,La Isla del amor,DEMARCO FLAMENCO / MAKI,"78 Semanas en lista
2x"
2018,66,These Days (Camelphat Remix),RUDIMENTAL / JESS GLYNNE / MACKLEMORE & DAN CAPLEN,"45 Semanas en lista
1x"
2018,67,Azukita,STEVE AOKI / DADDY YANKEE / PLAY-N-SKILLZ / ELVIS CRESPO,"33 Semanas en lista
1x"
2018,68,Brillo,J BALVIN / ROSALÍA,"31 Semanas en lista
1x"
2018,69,Bum Bum Tam Tam,Mc Fioti,"39 Semanas en lista
2x"
2018,70,Fuego,Eleni Foureira,"33 Semanas en lista
1x"
2018,71,IDGAF,Dua Lipa,"39 Semanas en lista
1x"
2018,72,Le Encanta,Juan Magan y B-Case,"40 Semanas en lista
1x"
2018,73,La Llamada,Leiva,"46 Semanas en lista
2x"
2018,74,X (Remix),Nicky Jam & J Balvin feat Maluma & Ozuna,"26 Semanas en lista
1x"
2018,75,Tu canción,AMAIA ROMERO / ALFRED GARCÍA,"30 Semanas en lista
1x"
2018,76,New Rules,Dua Lipa,"55 Semanas en lista
2x"
2018,77,Bailame,Nacho,"72 Semanas en lista
1x"
2018,78,Él no soy yo,Blas Canto,"34 Semanas en lista
1x"
2018,79,Se preparó,OZUNA,"50 Semanas en lista
1x"
2018,80,QUIERE BEBER,ANUEL AA,"20 Semanas en lista
1x"
2018,81,Ya Es Hora,"Ana Mena, Becky G, De La Ghetto","40 Semanas en lista
1x"
2018,82,Unica,OZUNA,"34 Semanas en lista
1x"
2018,83,MALA MÍA,Maluma,"20 Semanas en lista
1x"
2018,84,Celoso,Lele Pons,"19 Semanas en lista
1x"
2018,85,Solita,OZUNA / MAMBO KINGZ / DJ LUIAN / BAD BUNNY / WISIN / ALMIGHT,"31 Semanas en lista
1x"
2018,86,Flames,David Guetta / Sia,"36 Semanas en lista
1x"
2018,87,Suena El Dembow,Joey Montana y Sebastián Yatra,"48 Semanas en lista
2x"
2018,88,No Quiero Amarte,JUSTIN QUILES / ZION & LENNOX,"33 Semanas en lista
1x"
2018,89,ESTAMOS BIEN,BAD BUNNY,"26 Semanas en lista
1x"
2018,90,Perro Fiel,shakira / Nicky Jam,"58 Semanas en lista
1x"
2018,91,ADAN Y EVA,PAULO LONDRA,"8 Semanas en lista
1x"
2018,92,Despacito (Featuring Daddy Yankee),Luis Fonsi feat Daddy Yankee,"89 Semanas en lista
2x"
2018,93,Booty,C. Tangana & Becky G.,"10 Semanas en lista
1x"
2018,94,Mad Love,SEAN PAUL / DAVID GUETTA / BECKY G,"36 Semanas en lista
1x"
2018,95,Imposible,Luis Fonsi y Ozuna,"10 Semanas en lista
1x"
2018,96,El Patio,Pablo López,"38 Semanas en lista
1x"
